Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.1	0.0	-0.1	-0.1	32.95652	-0.05692274	0.009362766	-0.0031920653	-0.088181384	10000	7.897616e-08	0.00088604225	0.005938691	-0.00072251394	0.9189396	0.05416348	0.5207	1.0	5788.733539581299
1	-0.07608695	0.1604136	1.0	-0.1	101.86957	-0.08193046	0.005949498	-0.049483646	-0.108278565	20000	8.940697e-09	0.014575514	-7.710606e-05	-0.007309798	0.9188386	0.01991513	0.3507	1.0	11302.942931890488
2	-0.07864078	0.15178579	1.0	-0.1	95.67961	-0.0441906	0.04467728	0.21677734	-0.28831825	30000	5.9604646e-09	0.011550603	0.0031689536	-0.0095274495	0.91888297	0.021308068	0.29880002	1.0	16491.8068151474
3	0.0014184358	0.31823668	1.0	-0.1	69.836876	-0.048060052	0.06295958	0.50415516	-0.19530514	40000	-1.9371509e-08	0.054546367	-0.017182535	-0.043385882	0.9188131	0.014743002	0.13769999	79.0	21971.048948049545
4	-0.045454547	0.23879865	1.0	-0.1	81.38843	0.008808419	0.14368899	0.8676033	-0.29155785	50000	2.9802323e-09	0.03886202	-0.001572831	-0.032839943	0.8991268	0.016366689	0.1803	2.0	27126.30376458168
5	-0.0016260225	0.31390116	1.0	-0.1	80.26016	0.0011867344	0.11840562	0.75136894	-0.2429612	60000	0.0	0.053171623	-0.02525494	-0.043937366	0.8988407	0.01569572	0.1661	64.0	32633.27191066742
6	-0.041592926	0.24665038	1.0	-0.1	84.92036	0.016771356	0.17499459	1.0206636	-0.30753142	70000	-1.0430813e-08	0.056042742	-0.020235786	-0.049826328	0.89096564	0.017892355	0.21400002	34.0	38210.04723191261
7	-0.0100000035	0.30149627	1.0	-0.1	87.08182	-0.004741972	0.12334597	0.7681089	-0.30494815	80000	2.9802323e-09	0.050369762	-0.029728413	-0.043772094	0.8893132	0.01574037	0.18609999	55.0	43684.416937828064
8	0.053763445	0.38144016	1.0	-0.1	104.69892	0.026554247	0.1416952	0.7265133	-0.53798974	90000	1.0430813e-08	0.06365861	-0.03259579	-0.055797476	0.8815857	0.015017321	0.1802	51.0	49263.851654052734
9	0.04756098	0.37489042	1.0	-0.1	115.68293	-0.013136197	0.15409152	1.3357093	-0.36841276	100000	-5.9604646e-09	0.05885738	-0.023760002	-0.05330547	0.86972964	0.016789813	0.2244	28.0	54635.36084342003
10	0.02857142	0.35340905	1.0	-0.1	122.38961	0.00923976	0.15370372	0.99266684	-0.342088	110000	-4.4703485e-09	0.041289076	-0.015522068	-0.037314355	0.86301315	0.01602226	0.20699999	17.0	60174.21728992462
11	0.042857144	0.36977652	1.0	-0.1	123.90909	0.04769415	0.1858902	1.4458218	-0.28149635	120000	-8.940697e-09	0.057502616	-0.0018876016	-0.054148197	0.85807693	0.018430198	0.2335	5.0	65534.122576236725
12	0.06823529	0.39592388	1.0	-0.1	114.74117	0.021986999	0.1815497	1.469314	-0.31151056	130000	-2.9802323e-09	0.063000716	-0.023844317	-0.054272283	0.8569767	0.015846824	0.22639999	32.0	70922.91847586632
13	0.045783136	0.37297282	1.0	-0.1	118.6747	0.0052520437	0.12690252	0.9677945	-0.24772957	140000	2.9802323e-09	0.046792623	-0.030108621	-0.043507315	0.856077	0.017947866	0.2078	43.0	76382.74443817139
14	0.048648648	0.3760546	1.0	-0.1	129.66216	0.029574769	0.17284146	1.1727319	-0.5089438	150000	0.0	0.054357965	-0.031150863	-0.04936402	0.845555	0.017796025	0.20199999	42.0	81881.4940571785
15	0.13692307	0.4521978	1.0	-0.1	144.44615	0.04847453	0.17511386	1.0581231	-0.25878882	160000	8.940697e-09	0.06416211	-0.017252352	-0.059051633	0.83532256	0.015329753	0.1737	17.0	87347.40357422829
