Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.099999994	7.450581e-09	-0.1	-0.1	211.04762	0.15228976	0.0017240815	0.15487814	0.14419359	5000	1.6391278e-08	0.033691533	-0.004978453	-0.031715557	0.918938	0.016870996	0.20679998	4.0	2.713473081588745
1	-0.1	0.0	-0.1	-0.1	441.9	-0.02709256	0.007155236	-0.015155356	-0.0391631	10000	0.0	0.0007287253	-0.00830601	-0.00014860737	0.91901225	0.009161895	0.118999995	79.0	8.291462898254395
2	-0.1	0.0	-0.1	-0.1	798.2	-0.020607105	0.0029203603	-0.015905082	-0.027912542	15000	8.940697e-09	0.00046358965	-0.0048868987	-8.091326e-05	0.9214218	0.005602938	0.0852	79.0	14.053212642669678
3	-0.060000002	0.048989795	0.0	-0.1	860.6	-0.011878317	0.0020647598	-0.0069402345	-0.014043305	20000	4.4703485e-09	0.00030060235	-0.0056715757	-6.8410176e-05	0.92531836	0.010205904	0.1122	79.0	19.341613292694092
4	-0.08	0.04	0.0	-0.1	716.8	-0.0097618215	0.008290588	0.0028524697	-0.02386108	25000	9.685754e-09	0.00034796874	-0.005100476	-3.0462606e-05	0.94084585	0.0073373676	0.061400004	79.0	24.788209199905396
5	-0.060000002	0.048989795	0.0	-0.1	842.0	-0.008368705	0.002493428	-0.0025023632	-0.013453808	30000	-2.0861625e-08	0.00028635093	-0.002196096	-4.0593437e-05	0.921278	0.015091372	0.26860002	7.0	27.380117893218994
6	-0.1	0.0	-0.1	-0.1	475.16666	-0.0095425835	0.0070318202	0.0028888695	-0.022759382	35000	8.940697e-09	0.0004064893	-0.005725971	-1.7327638e-05	0.92109454	0.010738082	0.1074	79.0	32.57006001472473
7	-0.060000002	0.048989795	0.0	-0.1	845.4	-0.008857066	0.0057056434	-0.00116558	-0.017523345	40000	-1.2665987e-08	0.00022673355	-0.0018496087	-6.4033056e-06	0.93659717	0.0045359577	0.0226	79.0	37.7258198261261
8	-0.1	0.0	-0.1	-0.1	325.66666	-0.0034149128	0.0071356343	0.008347355	-0.022441402	45000	-1.1920929e-08	0.00087369996	-0.004367871	-0.0003698932	0.9304651	0.018318376	0.2652	5.0	40.292322397232056
9	-0.1	0.0	-0.1	-0.1	767.2	-0.0166491	0.00939959	-0.0022668205	-0.035373975	50000	-8.940697e-09	0.0005005338	-0.0043822466	-0.00011625744	0.9300062	0.0079375515	0.1158	79.0	45.488221406936646
10	0.0	0.0	0.0	0.0	1000.0	-0.011479407	0.0032367029	-0.0063449778	-0.016845562	55000	1.3113022e-07	0.000121052006	-0.00275383	-0.000115402116	0.91889966	0.006074795	0.062399995	79.0	50.88261294364929
11	-0.060000002	0.048989795	0.0	-0.1	744.2	-0.0015205379	0.00084465486	0.0010853484	-0.0029440187	60000	0.0	0.0002945989	-0.0047914	-6.658338e-05	0.9341618	0.0083867265	0.0788	79.0	56.16879391670227
12	-0.02	0.04	0.0	-0.1	873.8	-0.01192021	0.004429027	-0.005450543	-0.019883636	65000	-1.1920929e-08	0.00016423661	-0.0025852516	-7.976439e-05	0.93364316	0.015938412	0.23860002	8.0	58.72457242012024
13	-0.08571429	0.034992713	0.0	-0.1	610.0	0.001964041	0.004920539	0.008645207	-0.0078124665	70000	8.940697e-09	0.00063978665	-0.003160481	-0.00019277152	0.9333534	0.0063283383	0.059600003	79.0	64.04288005828857
14	-0.08	0.04	0.0	-0.1	842.6	-0.017840423	0.004887363	-0.0050940923	-0.02458788	75000	0.0	0.00040241954	-0.0052338117	-8.3001665e-05	0.9330168	0.0056579607	0.0788	79.0	69.66504096984863
15	-0.083333336	0.0372678	0.0	-0.1	600.3333	-0.007146159	0.0018870138	-0.0036948845	-0.011600904	80000	-7.450581e-09	0.00040454656	-0.0060400264	-1.8944598e-05	0.91766655	0.007962952	0.10999999	79.0	74.91832327842712
16	0.099999994	0.40414518	1.0	-0.1	650.1667	-0.010323416	0.002304941	-0.0026513413	-0.014134843	85000	-5.9604646e-09	0.010789506	-0.0045898915	-0.0005522721	0.92641145	0.020900248	0.29619998	6.0	77.3189947605133
17	0.022222217	0.34569666	1.0	-0.1	473.22223	0.017965768	0.0080015	0.035956338	0.008109603	90000	-2.9802323e-09	0.011116972	-0.00078983494	-0.0014243254	0.9262594	0.015124565	0.21900001	7.0	79.81952142715454
